adoption_year	name	slug	original_slug	has_blog_text	has_image
2025	Sammi	sammi-2025	sammi-2025	yes	yes
2025	Bailey	bailey-2025	bailey-2025	yes	yes
2025	Moose	moose-2025	moose-2025	yes	yes
2025	Odie	odie-2025	odie-2025	yes	yes
2025	Zena	zena-2025	zena-2025	yes	yes
2025	Phoenix	phoenix-2025	phoenix-2025	yes	yes
2025	Leo	leo-2025	leo-2025	yes	yes
2025	Bear	bear-2025	bear-2025	yes	yes
2025	Arlo	arlo-2025	arlo-2025	yes	yes
2025	Bruce	bruce-2025	bruce-2025	yes	yes
2025	Bunker	bunker-2025	bunker-2025	yes	yes
2025	Forest	forest-2025	forest-2025	yes	yes
2025	Misty	misty-2025	misty-2025	yes	yes
2026	Chloe	chloe-2026	chloe-2026	yes	yes
